,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
2903,25,8,23,4,19,17,5,3,21,6,4
1850,3,7,22,11,9,8,4,25,5,3,4
3744,19,17,7,13,25,22,4,3,23,1,2
2254,4,14,21,15,15,17,15,19,3,20,3
1121,29,30,27,13,9,20,13,9,12,16,2
2812,15,9,7,14,28,26,9,17,7,1,3
4733,19,18,21,3,16,5,19,1,4,27,8
1109,3,15,8,25,1,7,29,7,5,21,6
4900,3,27,25,11,30,15,6,4,21,18,4
3795,8,26,7,1,13,17,9,7,4,27,8
3359,21,20,15,7,27,13,1,27,15,9,4
2389,10,16,15,5,13,21,18,17,24,26,5
3128,21,23,18,9,30,13,17,4,23,1,3
3346,29,15,27,8,7,25,5,11,14,3,4
3610,9,1,21,9,4,8,11,27,3,17,4
4654,11,10,22,23,14,20,19,13,17,25,6
1577,23,3,9,11,8,7,13,25,8,1,4
230,18,12,11,17,11,17,13,21,23,27,2
3753,7,8,16,21,27,22,30,11,30,23,5
3065,21,17,30,20,7,19,5,27,6,14,4
4844,15,9,27,19,9,1,21,16,18,29,5
3677,27,19,29,13,24,21,3,1,9,5,2
4571,29,5,4,11,19,1,9,15,10,21,3
1834,4,4,3,5,1,9,9,3,10,23,3
4036,1,11,14,13,19,12,30,7,20,11,4
1088,27,8,7,20,10,28,20,23,26,1,5
3792,24,3,21,29,2,9,1,19,5,3,8
4433,6,27,8,3,17,27,5,7,9,9,2
327,15,6,25,12,11,1,7,20,29,6,4
3172,13,27,25,11,1,19,8,6,20,3,5
2845,5,23,9,9,19,11,29,27,9,16,3
1928,18,9,19,5,17,1,21,14,25,27,5
1406,9,9,7,5,15,28,29,22,12,15,4
591,18,29,25,18,16,1,6,27,3,17,4
1069,9,11,30,8,4,5,4,25,10,17,4
4978,13,3,5,5,13,23,16,20,4,1,4
4770,4,19,12,28,10,19,29,20,9,5,4
2313,9,7,13,29,29,14,7,6,19,3,3
2343,1,19,5,5,14,16,9,9,6,7,5
4799,1,27,18,21,25,14,9,8,19,23,2
446,10,10,9,8,20,16,15,11,25,17,4
93,3,11,13,1,23,5,14,22,3,7,3
1623,6,14,17,9,19,7,5,7,13,3,5
68,27,26,24,18,7,16,10,21,12,15,7
1666,7,25,6,14,5,9,8,4,5,11,4
1341,21,6,1,3,16,7,25,29,20,5,4
4168,19,15,9,30,14,30,12,25,27,27,6
2306,11,4,1,13,4,9,17,18,7,26,2
3877,13,15,16,1,29,18,11,6,19,2,4
4444,15,5,6,27,7,14,29,3,16,11,5
440,13,29,23,15,29,14,7,15,4,10,5
2292,15,5,6,16,5,11,21,23,20,27,3
3070,14,27,12,10,29,15,8,30,8,28,4
1517,4,15,17,8,9,1,5,25,10,25,4
301,15,17,7,13,25,18,5,13,22,9,2
4220,8,7,23,19,15,4,5,24,28,9,5
3655,11,13,5,6,19,23,12,13,21,16,2
1003,10,19,25,6,5,1,17,28,9,5,3
658,12,10,25,8,21,3,5,23,5,9,2
1590,15,27,26,24,5,5,8,18,17,14,4
4162,19,9,21,9,4,10,30,1,25,10,3
507,15,6,23,6,8,7,3,1,10,5,7
421,27,22,15,14,21,13,29,9,2,15,3
963,11,15,10,25,13,9,6,23,29,13,2
1467,5,8,25,25,1,15,19,14,7,24,4
496,3,18,14,6,9,21,10,9,20,7,4
