family_id,assigned_day
0,82
1,64
2,62
3,2
4,53
5,0
6,0
7,25
8,65
9,88
10,96
11,19
12,52
13,54
14,45
15,97
16,46
17,70
18,63
19,0
20,3
21,56
22,61
23,19
24,75
25,65
26,58
27,38
28,81
29,62
30,64
31,74
32,15
33,32
34,100
35,87
36,47
37,15
38,13
39,10
40,25
41,31
42,81
43,7
44,92
45,71
46,69
47,45
48,32
49,76
50,67
51,99
52,53
53,72
54,94
55,91
56,12
57,93
58,69
59,15
60,98
61,100
62,1
63,31
64,97
65,47
66,66
67,94
68,85
69,5
70,0
71,71
72,66
73,22
74,82
75,16
76,92
77,20
78,52
79,37
80,18
81,76
82,32
83,79
84,9
85,54
86,29
87,25
88,55
89,23
90,54
91,17
92,85
93,5
94,47
95,37
96,0
97,48
98,71
99,69
100,39
101,53
102,31
103,68
104,47
105,0
106,34
107,12
108,34
109,95
110,67
111,68
112,60
113,18
114,15
115,78
116,77
117,94
118,72
119,99
120,56
121,17
122,24
123,92
124,14
125,58
126,3
127,2
128,56
129,43
130,16
131,60
132,76
133,54
134,18
135,5
136,69
137,82
138,59
139,98
140,61
141,97
142,26
143,38
144,62
145,18
146,64
147,28
148,63
149,63
150,97
151,95
152,70
153,3
154,57
155,100
156,95
157,61
158,13
159,55
160,28
161,98
162,68
163,77
164,18
165,33
166,14
167,93
168,69
169,67
170,12
171,78
172,21
173,71
174,94
175,89
176,52
177,74
178,63
179,26
180,40
181,7
182,94
183,10
184,4
185,80
186,63
187,43
188,10
189,51
190,64
191,54
192,77
193,35
194,95
195,55
196,26
197,44
198,81
199,51
200,26
201,47
202,23
203,65
204,49
205,100
206,28
207,47
208,95
209,9
210,23
211,98
212,10
213,52
214,63
215,92
216,43
217,5
218,38
219,68
220,65
221,17
222,36
223,60
224,66
225,61
226,64
227,49
228,87
229,48
230,70
231,48
232,99
233,71
234,57
235,53
236,37
237,3
238,19
239,14
240,57
241,60
242,60
243,89
244,39
245,13
246,50
247,66
248,33
249,75
250,1
251,75
252,18
253,84
254,28
255,94
256,93
257,0
258,99
259,60
260,25
261,67
262,32
263,48
264,11
265,11
266,7
267,74
268,39
269,30
270,41
271,73
272,43
273,38
274,8
275,15
276,32
277,71
278,78
279,38
280,89
281,22
282,72
283,73
284,20
285,66
286,54
287,47
288,63
289,70
290,25
291,80
292,0
293,23
294,46
295,10
296,50
297,76
298,50
299,72
300,5
301,45
302,0
303,78
304,86
305,58
306,2
307,70
308,47
